word,definition
tacit,"(adj) understood without being said; implied, not stated directly; silent"
taciturn,"(adj) not talking much, reserved; silent, holding back in conversation"
tangential,"(adj) only slightly relevant, going off topic"
temperance,"(n) moderation, self-control, esp. regarding alcohol or other desires or pleasures; total abstinence from alcohol"
tenuous,"(adj) long and thin, slender; flimsy, having little substance"
timely,"(adj) well-timed, happening at a suitable time"
timorous,"(adj) fearful, timid"
tirade,"(n) bitter, abusive criticism or verbal attack"
torpor,"(n) sluggishness, lethargy, or apathy; a period of inactivity"
torrid,"(adj) very hot, parching, burning; passionate"
tractable,"(adj) easily controlled or managed, docile; easily shaped or molded"
transitory,"(adj) temporary, short-lived, not lasting"
trifling,"(adj) trivial, not very important; so small as to be unimportant; frivolous, shallow"
trite,"(adj) lacking freshness or originality, lacking effectiveness due to overuse, cliche"
ubiquitous,(adj) existing everywhere at the same time
undermine,(v) weaken cause to collapse by digging away at the foundation (of a building or an argument); injure or attack in a secretive or underhanded way
underscore,"(v) emphasize (or, literally, to underline text)"
unearth,"(v) dig up, uncover, expose"
unequivocal,"(adj) unambiguous, clear, absolute; having only one possible meaning"
unprecedented,"(adj) never before known or seen, without having happened previously"
unseemly,"(adj) improper, inappropriate, against the rules of taste or politeness"
vacillate,"(v) waver in one's mind or opinions, be indecisive"
venerate,"(v) revere, regard with deep respect and awe"
veracity,"(n) truthfulness, accuracy; habitual adherence to the truth"
verbose,(adj) wordy
viable,"(adj) capable of living (or growing, developing, etc.); practical, workable"
vintage,"(adj, n) related to items of high quality from a previous era, old-fashioned, antique (adj); the wine of a particular year (noun)"
virtual,(adj) existing only in the mind or by means of a computer network; existing in results or in essence but not officially or in name
vituperate,"(v) verbally abuse, rebuke or criticize harshly"
volatile,"(adj) varying, inconstant, fleeting; tending to violence, explosive"
warranted,"(adj) justified, authorized (warrant can mean to justify or a justification, but can also mean to vouch for or guarantee)"
wary,"(adj) watchful, motivated by caution, on guard against danger"
whereas,"(conjunction) while on the contrary, considering that"
whimsical,"(adj) marked or motivated by whims (odd, fanciful ideas); erratic, unpredictable"
wily,"(adj) crafty, cunning, characterized by tricks or artifice"
zeal,"(n) great fervor or enthusiasm for a cause, person, etc.; tireless diligence in furthering that cause; passion, ardor"
zenith,"(n) high point, culmination"
